Unfair Workplace Practices and Lack of Growth Opportunities and Poor Work Conditions and Management Support:,rating_date,employee_length,employee_status,employee_type,flags_ceo_approval,rating_overall,rating_work_life,summary,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,cleaned_summary,cleaned_advice,cleaned_reviewPros,cleaned_reviewCons
1,2025-06-03T00:00:00.000Z,0,REGULAR,Current employee,,3,0,Amazon,"Richmond, VA",Warehouse Fulfillment Associate,don’t micro manage,"not interactive 
can leave or take off whenever as long as you have time 
easy work","inhumane 
draining physically &amp; mentally",0,0,0,amazon,don’t micro manage,interactive leave take whenever long time easy work,inhumane draining physically amp mentally
2,2025-05-29T00:00:00.000Z,1,CONTRACT,"Current employee, less than 1 year",APPROVE,4,3,Good,"Brampton, ON",Warehouse Associate,Remove all attitude manager from warehouse,good and easy work enviorment,"Sticks rules and completing targets any how, otherwise get warning",5,3,5,good,remove attitude manager warehouse,good easy work enviorment,sticks rules completing targets otherwise get warning
3,2025-05-28T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",APPROVE,5,5,Good experience,"Bolton, ON",Warehouse Associate,,"help to grow , good pay ,","limited opportunities for advancement,No clear path for promotion",5,5,5,good experience, ,help grow good pay,limited opportunities advancementno clear path promotion
4,2025-05-26T00:00:00.000Z,2,PART_TIME,Current employees,APPROVE,3,2,Dhdh,"Swedesboro, NJ",Employee,,"Plenty of work
Meet new people","Tough on the body
Labor intensive",2,2,3,dhdh, ,plenty work meet new people,tough body labor intensive
5,2025-05-23T00:00:00.000Z,0,REGULAR,Current employee,,4,0,Good Pay rate,"Whitby, ON",Fulfillment Associate,,"Good Holiday pay 
Additional benefits for permanent employees",Not hiring permanent employees directly,0,0,0,good pay rate, ,good holiday pay additional benefits permanent employees,hiring permanent employees directly
6,2025-05-18T00:00:00.000Z,2,REGULAR,Former employees,,3,3,worst American sweat shop,"Kenosha, WI",Warehouse Associate,,"Nice people, Great pay and benefits.",management does not care about its employees. hours are way to long.,4,2,3,worst american sweat shop, ,nice people great pay benefits,management care employees hours way long
7,2025-05-17T00:00:00.000Z,4,REGULAR,Current employees,NO_OPINION,4,3,warehouse,"Oklahoma City, OK",Associate,should have physical strength,"learn lift trucks, pallet jack, flex schedule/ Shifts","fast paced working environment, weight lifting",5,5,4,warehouse,physical strength,learn lift trucks pallet jack flex schedule shifts,fast paced working environment weight lifting
8,2025-05-15T00:00:00.000Z,0,REGULAR,Current employee,,2,1,less than ideal,,,no,decent work that wasnt too miserable,people in charge wasnt very good,3,2,4,less ideal,,decent work wasnt miserable,people charge wasnt good
9,2025-05-14T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",,3,0,Amazon,"Clarksville, TN",Fulfillment Associate,Get better,"Good pay, not too long hours",Management absolutely is terrible at communicating,4,0,3,amazon,get better,good pay long hours,management absolutely terrible communicating
10,2025-05-14T00:00:00.000Z,1,,"Former employee, less than 1 year",,2,0,Keep Going keep trying,"Appleton, WI",Warehouse Worker,,Workout and regularly routine habit,"More work life,  less sleep .",0,0,0,keep going keep trying, ,workout regularly routine habit,work life less sleep
11,2025-05-13T00:00:00.000Z,4,REGULAR,Former employees,APPROVE,5,5,Amazon Fulfillment Center BDL2,"Windsor, CT",Picker/Packer,Appreciation for employees,"Tuition reimbursement 
Schedule flexibility 
Benefits
Salary
Overtime opportunities","Standing +10 hours
Noise
Safety hazards 
Overworking
Get write ups for not meeting their rate expectations",5,4,4,amazon fulfillment center bdl2,appreciation employees,tuition reimbursement schedule flexibility benefits salary overtime opportunities,standing 10 hours noise safety hazards overworking get write ups meeting rate expectations
12,2025-05-07T00:00:00.000Z,0,REGULAR,Current employee,,3,0,pro/cons,"Sparrows Point, MD",WHSS,,The benefits are great and start immediately,The workplace culture is bad,0,0,0,procons, ,benefits great start immediately,workplace culture bad
13,2025-05-04T00:00:00.000Z,0,REGULAR,Former employee,,5,0,warehouse associate,"Ajax, ON",Warehouse Associate,,"good pay
stress-free
hard working","night-shift
overtime
no cons at all",0,0,0,warehouse associate, ,good pay stressfree hard working,nightshift overtime cons
14,2025-05-04T00:00:00.000Z,2,REGULAR,Current employees,,3,0,Not the worst,"Louisville, TN",FC Associate I,,"4 day weeks, good benefits. OT usually available",Its a physical job so prepare to be tired.,0,0,0,worst, ,4 day weeks good benefits ot usually available,physical job prepare tired
15,2025-04-27T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",,4,1,One full year of employment,"Suffolk, VA",Shipping and Receiving,,A good reference for previous work.,No cons to my knowledge.,0,0,0,one full year employment, ,good reference previous work,cons knowledge
16,2025-04-24T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",DISAPPROVE,2,3,worst experience ever,"Hamilton, ON",Order Picker,"lose the hiring bias, you know what I mean",most of the people were great,"fired without notification, one day my badge just didnt work, wasting my time and my bus fare",3,1,3,worst experience ever,lose hiring bias know mean,people great,fired without notification one day badge didnt work wasting time bus fare
17,2025-04-24T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",,5,0,Amazing expirience,,Project Management Intern,,"Quality work
Lot to learn","No contract extenscion
Hard to find anything in Amazon again",4,0,5,amazing expirience, ,quality work lot learn,contract extenscion hard find anything amazon
18,2025-04-23T00:00:00.000Z,2,REGULAR,Current employees,APPROVE,3,3,Good environment,"Ottawa, ON",Associate,,nice to start for students,not for long term job,5,5,5,good environment, ,nice start students,long term job
19,2025-04-21T00:00:00.000Z,0,PART_TIME,Current employee,,4,0,Good place,"Durham, NC",Warehouse Associate,,flexible schedule if you are felx,work can feel repetitive and boring,0,0,0,good place, ,flexible schedule felx,work feel repetitive boring
20,2025-04-19T00:00:00.000Z,2,REGULAR,Current employees,NO_OPINION,4,5,Great,"Reno, NV",Production,,"Nice place to work
Nice hours for night shift 6:30pm-5am
UPT PTO and Vacation",There is favoritism- like any other job.,4,5,5,great, ,nice place work nice hours night shift 630pm5am upt pto vacation,favoritism like job
21,2025-04-16T00:00:00.000Z,2,REGULAR,Former employees,NO_OPINION,3,1,Okay for the most part,"Chicago, IL",Driver,Get better with scheduling,During peak season good pay and great hours,When peak season over it leave you struggling,3,4,2,okay part,get better scheduling,peak season good pay great hours,peak season leave struggling
22,2025-04-15T00:00:00.000Z,4,REGULAR,Current employees,,4,2,good company to work,"Cambridge, ON",Process Assistant,,Good pay for a process assistant.,"bit stressful, to be honest, as we have a tight workload in our station.",4,3,4,good company work, ,good pay process assistant,bit stressful honest tight workload station
23,2025-04-11T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",DISAPPROVE,1,1,Behandlung von Mitarbeitern,Winsen (Luhe),Area Manager,"Das Management gibt vor, sich um Sie zu kümmern und Sie kennen zu lernen und Ihnen zu helfen. In Wirklichkeit geht es aber darum, Sie auszubeuten und in der Schwebe zu halten.","Die Bezahlung und die berufliche Entwicklung, die man durch die Begegnung mit vielen Menschen und das Erlernen neuer Prozesse erfährt.","In dieser FC werden Mitarbeiter und Neueinstellungen wie Nummern behandelt, und sie versuchen, dich loszuwerden, wenn du ihren toxischen Standards nicht mit den niedrigsten Manieren gerecht wirst.",4,1,2,behandlung von mitarbeitern,das management gibt vor sich um sie zu kümmern und sie kennen zu lernen und ihnen zu helfen wirklichkeit geht es aber darum sie auszubeuten und der schwebe zu halten,die bezahlung und die berufliche entwicklung die man durch die begegnung mit vielen menschen und das erlernen neuer prozesse erfährt,dieser fc werden mitarbeiter und neueinstellungen wie nummern behandelt und sie versuchen dich loszuwerden wenn du ihren toxischen standards nicht mit den niedrigsten manieren gerecht wirst
24,2025-04-09T00:00:00.000Z,2,REGULAR,Former employees,APPROVE,4,4,Good Benefits and Management,"Barrhaven, ON",Fulfillment Associate,,"Wage increase 3, 6, 12 month and so on.

Great Full-time benefits 

Work Perks and Discount through Venngo",Warehouse (repetitive work and corporation like layout) dull.. but great people and management,5,4,4,good benefits management, ,wage increase 3 6 12 month great fulltime benefits work perks discount venngo,warehouse repetitive work corporation like layout dull great people management
25,2025-04-08T00:00:00.000Z,2,REGULAR,Current employees,,4,3,Its pretty good at working at Amazon,"Hamilton, ON",Associate,,Good wages as a Warehouse associate,working environment gets a little bit noisy,5,5,3,pretty good working amazon, ,good wages warehouse associate,working environment gets little bit noisy
26,2025-04-02T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",DISAPPROVE,1,1,Avoid working here at all cost,"Saint Peters, MO",Picker,,"Always hours available, anytime pay","Long hours, minimal light, will write you up for bathroom breaks, mandatory overtime with little to no heads up. This place drains you emotionally and physically.",1,1,1,avoid working cost, ,always hours available anytime pay,long hours minimal light write bathroom breaks mandatory overtime little heads place drains emotionally physically
27,2025-04-01T00:00:00.000Z,0,PART_TIME,Current employee,,4,0,Ok,"Corona, CA",Warehouse,,Easy starter job to work at,Can be fast paced and employment depends on management,0,0,0,ok, ,easy starter job work,fast paced employment depends management
28,2025-03-31T00:00:00.000Z,0,REGULAR,Current employee,,3,5,Amazon Fulfillment Center,Illescas,Mozo de almac%C3%A9n,,"Seguridad, compañerismo, comodidad, rotativos, adaptabilidad","Trabajo cansado, fines de semana, no posibilidad de cobrar más",3,3,2,amazon fulfillment center, ,seguridad compañerismo comodidad rotativos adaptabilidad,trabajo cansado fines de semana posibilidad de cobrar más
29,2025-03-31T00:00:00.000Z,0,REGULAR,Former employee,,4,0,fun,"San Bernardino, CA",Inbound Stower,,benefits and not bad pay,no cons it was easy work people just complain,0,0,0,fun, ,benefits bad pay,cons easy work people complain
